Elenco delle banche convenzionate ordinate per denominazione
Denominazione	Codice ABI
CASSA PADANA BANCA DI CREDITO COOPERATIVO S.C. 	8340
CASSA RAIFFEISEN DI MONGUELFO-CASIES-TESIDO S.C.	8148
CASSA RAIFFEISEN ALTA PUSTERIA S.C.	8020
CASSA RAIFFEISEN ALTA VENOSTA S.C.	8066
CASSA RAIFFEISEN BASSA ATESINA SOCIETA' COOP.  	8114
CASSA RAIFFEISEN BASSA VALL'ISARCO S.C.  	8113
CASSA RAIFFEISEN BASSA VENOSTA SOC.COOP. 	8157
CASSA RAIFFEISEN CAMPO DI TRENS S.C.  	8249
CASSA RAIFFEISEN CASTELROTTO - ORTISEI S.C. 	8056
CASSA RAIFFEISEN DELLA VAL PASSIRIA SOC. COOP. 	8998
CASSA RAIFFEISEN DELLA VALLE ISARCO S.C. 	8307
CASSA RAIFFEISEN DI BRUNICO S.C.	8035
CASSA RAIFFEISEN DI DOBBIACO S.C.  	8080
CASSA RAIFFEISEN DI FUNES S.C.	8094
CASSA RAIFFEISEN DI LAGUNDO S.C.	8112
CASSA RAIFFEISEN DI LASA SOCIETA' COOPERATIVA  	8117
CASSA RAIFFEISEN DI MARLENGO SOC.COOP.	8134
CASSA RAIFFEISEN DI NOVA PONENTE-ALDINO S.C.	8162
CASSA RAIFFEISEN DI PARCINES S.C.  	8175
CASSA RAIFFEISEN DI SAN MARTINO IN PASSIRIA S.C.  	8226
CASSA RAIFFEISEN DI SCENA SOCIETA' COOPERATIVA 	8234
CASSA RAIFFEISEN DI TESIMO SOCIETA' COOPERATIVA	8273
CASSA RAIFFEISEN DI VANDOIES SOCIETA' COOPERATIVA 	8295
CASSA RAIFFEISEN DI VILLABASSA S.C.	8302
CASSA RAIFFEISEN ETSCHTAL SOCIETA' COOPERATIVA 	8269
CASSA RAIFFEISEN LACES SOCIETA' COOPERATIVA 	8110
CASSA RAIFFEISEN LANA SOCIETA' COOPERATIVA  	8115
CASSA RAIFFEISEN MERANO	8133
CASSA RAIFFEISEN OLTRADIGE SOCIETA' COOPERATIVA	8255
CASSA RAIFFEISEN PRATO-TUBRE S.C.  	8183
CASSA RAIFFEISEN SCHLERN-ROSENGARTEN S.C.	8065
CASSA RAIFFEISEN SILANDRO SOCIETA' COOPERATIVA 	8244
CASSA RAIFFEISEN TIROLO SOCIETA' COOPERATIVA	8278
CASSA RAIFFEISEN TURES-AURINA SOCIETA' COOPERATIVA	8285
CASSA RAIFFEISEN ULTIMO-S.PANCRAZIO-LAUREGNO S.C. 	8231
CASSA RAIFFEISEN VAL BADIA S.C. 	8010
CASSA RAIFFEISEN VAL GARDENA S.C.  	8238
CASSA RAIFFEISEN VAL SARENTINO S.C.	8233
CASSA RAIFFEISEN WIPPTAL SOCIETA' COOPERATIVA  	8182
CASSA RURALE BASSA ANAUNIA	8079
CASSA RURALE DI ANAUNIA	8263
CASSA RURALE DI TASSULLO	8264
CASSA RURALE ALTA VALSUGANA B.C.C. S.C.  	8178
CASSA RURALE ALTOGARDA - ROVERETO - BCC S.C.	8016
CASSA RURALE DI BOLZANO S.C. 	8081
CASSA RURALE DI LEDRO B.C.C. S.C.  	8026
CASSA RURALE DI SALORNO SOCIETA' COOPERATIVA	8220
CASSA RURALE ED ARTIGIANA DI BOVES B.C.C. S.C. 	8397
CASSA RURALE FVG 	8622
CASSA RURALE RENON SOCIETA' COOPERATIVA  	8187
CASSA RURALE VAL DI FIEMME B.C.C. S.C.	8184
CASSA RURALE VAL DI NON - ROTALIANA E GIOVO - BCC 	8282
CASSA RURALE VAL DI SOLE B.C.C. S.C.  	8163
CASSA RURALE VALLAGARINA B.C.C.  SOC. COOP. 	8011
CASSA RURALE VALSUGANA E TESINO B.C.C. S.C. 	8102
CASTAGNETO BANCA 1910 CREDITO COOPERATIVO S.C. 	8461
CCN SERVIZI DI PAGAMENTO S.P.A. 	36039
CENTROMARCA BANCA C.C. DI TREVISO E VENEZIA 	8749
CHERRY BANK S.P.A.  	3365
CHIANTIBANCA - CREDITO COOPERATIVO S.C.  	8673
CITIBANK N.A. 	3566
COMMERZBANK AG	3095
CORTINABANCA CREDITO COOPERATIVO S.C. 	8511
CRA DI CANTU' BCC S.C.R.L 	8430
CREDIT AGRICOLE ITALIA S.P.A.	6230
CREDITO COOP.VO CASSA RURALE ED ARTIG. DI ERCHIE  	8537
CREDITO COOPERATIVO C.R.A. DI PALIANO S.C.  	8717
CREDITO COOPERATIVO CENTRO CALABRIA SOC.COOP.  	8258
CREDITO COOPERATIVO DI CARAVAGGIO ADDA E CREMASCO 	8441
CREDITO COOPERATIVO FRIULI S.C. 	7085
CREDITO COOPERATIVO RAVENNATE, FORLIVESE E IMOLESE	8542
CREDITO EMILIANO S.P.A.	3032
CREDITO LOMBARDO VENETO S.P.A.  	3430
CREDITO PADANO BANCA DI CREDITO COOPERATIVO S.C.  	8454
DEUTSCHE BANK SPA	3104
EMIL BANCA CREDITO COOPERATIVO S.C.	7072
EXTRABANCA S.P.A.	3399
FARBANCA SPA  	3110
FININT PRIVATE BANK S.P.A.	3159
FPB CASSA DI FASSA PRIMIERO BELLUNO B.C.C. S.C.	8140
GUBER BANCA S.P.A.  	3656
HYPE S.P.A.	36772
IBL BANCA S.P.A. 	3263
ICCREA BANCA S.P.A. 	8000
ICONTO S.R.L.	36042
BANCA IFIGEST S.P.AZIONI	3185
IGEA DIGITAL BANK	5029
IMPREBANCA S.P.A.	3403
ING BANK NV	3475
INTESA SANPAOLO PRIVATE BANKING S.P.A.	3239
INTESA SANPAOLO S.P.A. 	3069
BFF BANK S.P.A.	5000
ISYBANK S.P.A.	3385
KBC BANK NV ITALIA  	3373
LA CASSA DI RAVENNA S.P.A.	6270
LA CASSA RURALE - C.C. ADAM. GIUD. VAL. PAGA. S.C.	8078
MEDIOBANCA PREMIER S.P.A  	3058
MEDIOBANCA S.P.A	10631
BANCA MONTE DEI PASCHI DI SIENA S.P.A.	1030
MUFG BANK, LTD	3487
OLINDA SAS 	36092
BANCA POPOLARE ETICA S.C.P.A.	5018
POSTE ITALIANE S.P.A.  	7601
POSTEPAY S.P.A.  	36081
PRIMACASSA-CREDITO COOPERATIVO FVG-S.C.  	8637
RIVIERABANCA CREDITO COOPERATIVO SOC.COOP.  	8995
ROMAGNABANCA CREDITO COOPERATIVO	8852
SANFELICE 1893 BANCA POPOLARE S.C.P.A.	5652
SICILBANCA CREDITO COOPERATIVO ITALIANO  	8985
SMART BANK S.P.A. IN A.S. 	3353
SOCIETE GENERALE SECURITIES SERVICES S.P.A. 	3307
SOCIETE' GENERALE S.A. 	3593
SOGEFIN S.P.A.	36047
SOLUTION BANK S.P.A.	3273
STATE STREET BANK GMBH - SUCCURSALE ITALIA  	3439
TERRE ETRUSCHE DI VALDICHIANA E DI MAREMMA CC  	8851
UNICREDIT S.P.A. 	2008
VALPOLICELLA BENACO B.C.C. S.C. 	8315
VIVIBANCA S.P.A. 	5030
ZKB C.C. DI TRIESTE E GORIZIA S.C. 	8928
ZURICH ITALY BANK S.P.A	3667
